date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,city
2012-10-02 09:00:00,,121,89,2,329,1,1,288.28,0.0,0.0,40,Clouds,scattered clouds,5545,London
2012-10-02 10:00:00,,178,67,3,330,1,1,289.36,0.0,0.0,75,Clouds,broken clouds,4516,Toronto
2012-10-02 11:00:00,,113,66,3,329,2,2,289.58,0.0,0.0,90,Clouds,overcast clouds,4767,Seoul
2012-10-02 12:00:00,,20,66,3,329,5,5,290.13,0.0,0.0,90,Clouds,overcast clouds,5026,Toronto
2012-10-02 13:00:00,,281,65,3,329,7,7,291.14,0.0,0.0,75,Clouds,broken clouds,4918,Toronto
2012-10-02 14:00:00,,23,65,3,328,6,6,291.72,0.0,0.0,1,Clear,sky is clear,5181,Bangalore
2012-10-02 15:00:00,,184,64,3,328,7,7,293.17,0.0,0.0,1,Clear,sky is clear,5584,Switzerland
2012-10-02 16:00:00,,167,64,3,327,7,7,293.86,0.0,0.0,1,Clear,sky is clear,6015,London
2012-10-02 17:00:00,,119,63,3,327,6,6,294.14,0.0,0.0,20,Clouds,few clouds,5791,Toronto
2012-10-02 18:00:00,,161,63,3,326,3,3,293.1,0.0,0.0,20,Clouds,few clouds,4770,Seoul
2012-10-02 19:00:00,,243,62,3,326,8,8,290.97,0.0,0.0,20,Clouds,few clouds,3539,Seoul
2012-10-02 20:00:00,,150,62,3,326,5,5,289.38,0.0,0.0,1,Clear,sky is clear,2784,Bangalore
2012-10-02 21:00:00,,128,61,4,325,4,4,288.61,0.0,0.0,1,Clear,sky is clear,2361,Bangalore
2012-10-02 22:00:00,,18,61,4,325,7,7,287.16,0.0,0.0,1,Clear,sky is clear,1529,Switzerland
2012-10-02 23:00:00,,186,60,4,324,5,5,285.45,0.0,0.0,1,Clear,sky is clear,963,Seoul
2012-10-03 00:00:00,,58,60,4,324,2,2,284.63,0.0,0.0,1,Clear,sky is clear,506,London
2012-10-03 01:00:00,,158,59,4,324,6,6,283.47,0.0,0.0,1,Clear,sky is clear,321,London
2012-10-03 02:00:00,,166,59,4,323,1,1,281.18,0.0,0.0,1,Clear,sky is clear,273,Seoul
2012-10-03 03:00:00,,101,58,4,323,7,7,281.09,0.0,0.0,1,Clear,sky is clear,367,Switzerland
2012-10-03 04:00:00,,161,58,4,322,4,4,279.53,0.0,0.0,1,Clear,sky is clear,814,London
2012-10-03 05:00:00,,179,57,4,322,3,3,278.62,0.0,0.0,1,Clear,sky is clear,2718,Bangalore
2012-10-03 06:00:00,,93,57,4,322,4,4,278.23,0.0,0.0,1,Clear,sky is clear,5673,London
2012-10-03 08:00:00,,57,56,4,321,4,4,278.12,0.0,0.0,1,Clear,sky is clear,6511,Switzerland
2012-10-03 09:00:00,,226,56,4,321,4,4,282.48,0.0,0.0,1,Clear,sky is clear,5471,Toronto
2012-10-03 12:00:00,,86,55,4,320,3,3,291.97,0.0,0.0,1,Clear,sky is clear,5097,Toronto
2012-10-03 13:00:00,,52,55,4,320,1,1,293.23,0.0,0.0,1,Clear,sky is clear,4887,Bangalore
2012-10-03 14:00:00,,273,55,4,320,4,4,294.31,0.0,0.0,1,Clear,sky is clear,5337,Seoul
2012-10-03 15:00:00,,72,55,5,350,3,3,295.17,0.0,0.0,1,Clear,sky is clear,5692,Seoul
2012-10-03 16:00:00,,254,55,4,320,1,1,295.13,0.0,0.0,1,Clear,sky is clear,6137,London
2012-10-03 18:00:00,,129,55,5,330,4,4,293.66,0.0,0.0,20,Clouds,few clouds,4623,Switzerland
2012-10-03 19:00:00,,271,48,7,330,1,1,290.65,0.0,0.0,20,Clouds,few clouds,3591,Bangalore
2012-10-03 20:00:00,,259,42,6,320,1,1,288.19,0.0,0.0,20,Clouds,few clouds,2898,Seoul
2012-10-03 21:00:00,,61,33,5,340,8,8,287.1,0.0,0.0,1,Clear,sky is clear,2637,Bangalore
2012-10-03 22:00:00,,286,30,5,340,4,4,286.25,0.0,0.0,1,Clear,sky is clear,1777,Seoul
2012-10-03 23:00:00,,151,33,3,340,9,9,285.26,0.0,0.0,1,Clear,sky is clear,1015,Toronto
2012-10-04 00:00:00,,260,32,5,350,8,8,284.55,0.0,0.0,1,Clear,sky is clear,598,Switzerland
2012-10-04 01:00:00,,234,37,5,350,5,5,283.47,0.0,0.0,1,Clear,sky is clear,369,London
2012-10-04 02:00:00,,162,36,4,330,5,5,283.17,0.0,0.0,1,Clear,sky is clear,312,Switzerland
2012-10-04 03:00:00,,65,39,6,340,1,1,282.04,0.0,0.0,1,Clear,sky is clear,367,Switzerland
2012-10-04 04:00:00,,18,41,5,340,1,1,281.69,0.0,0.0,1,Clear,sky is clear,835,London
2012-10-04 05:00:00,,250,44,5,350,4,4,281.32,0.0,0.0,1,Clear,sky is clear,2726,London
2012-10-04 06:00:00,,173,44,4,340,4,4,280.74,0.0,0.0,1,Clear,sky is clear,5689,Bangalore
2012-10-04 07:00:00,,142,47,4,350,2,2,280.57,0.0,0.0,1,Clear,sky is clear,6990,Bangalore
2012-10-04 08:00:00,,90,50,4,360,5,5,281.86,0.0,0.0,1,Clear,sky is clear,5985,Toronto
2012-10-04 09:00:00,,144,75,0,0,6,6,284.98,0.0,0.0,1,Clear,sky is clear,5309,Seoul
2012-10-04 10:00:00,,143,57,0,0,8,8,289.18,0.0,0.0,1,Clear,sky is clear,4603,Toronto
2012-10-04 11:00:00,,61,70,1,320,1,1,291.55,0.0,0.0,1,Clear,sky is clear,4884,Seoul
2012-10-04 12:00:00,,211,93,0,0,4,4,294.97,0.0,0.0,1,Clear,sky is clear,5104,London
2012-10-04 13:00:00,,207,84,0,0,6,6,296.38,0.0,0.0,1,Clear,sky is clear,5178,Bangalore
2012-10-04 14:00:00,,115,75,0,0,7,7,297.32,0.0,0.0,1,Clear,sky is clear,5501,Toronto
2012-10-04 15:00:00,,253,57,0,0,2,2,298.17,0.0,0.0,1,Clear,sky is clear,5713,London
2012-10-04 16:00:00,,242,53,1,63,5,5,298.06,0.0,0.0,20,Clouds,few clouds,6292,Toronto
2012-10-04 17:00:00,,23,49,2,126,5,5,297.67,0.0,0.0,20,Clouds,few clouds,6057,Bangalore
2012-10-04 18:00:00,,234,45,3,190,5,5,296.36,0.0,0.0,40,Clouds,scattered clouds,4907,Toronto
2012-10-04 19:00:00,,220,37,3,170,6,6,293.85,0.0,0.0,40,Clouds,scattered clouds,3503,London
2012-10-04 20:00:00,,210,28,3,190,5,5,292.43,0.0,0.0,40,Clouds,scattered clouds,3037,Seoul
2012-10-04 21:00:00,,174,30,2,0,7,7,291.77,0.0,0.0,75,Clouds,broken clouds,2822,Switzerland
2012-10-04 22:00:00,,58,26,4,140,4,4,291.36,0.0,0.0,75,Clouds,broken clouds,1992,Toronto
